,Gene1,Gene2
1128,906,2
1129,907,2
1130,908,1006
1131,909,232
1132,910,686
1133,910,805
1134,910,2
1135,911,805
1136,911,1006
1137,912,2
1138,913,2
1139,914,2
1140,915,1006
1141,916,805
1142,916,1006
1143,917,408
1144,917,232
1145,918,408
1146,918,232
1147,919,408
1148,919,232
1149,920,408
1150,920,232
1151,921,408
1152,921,232
1153,922,686
1154,923,1006
1155,923,686
1156,923,805
1157,924,1006
1158,924,686
1159,924,805
1160,925,1006
1161,925,686
1162,925,805
1163,926,1006
1164,926,686
1165,926,805
1166,927,1006
1167,927,686
1168,927,805
1169,928,232
1170,929,686
1171,929,805
1172,930,686
1173,930,805
1174,931,686
1175,931,805
1176,932,686
1177,932,805
1178,933,805
1179,933,1006
1180,934,805
1181,934,1006
1182,935,805
1183,935,1006
1184,936,805
1185,936,1006
1186,937,805
1187,937,1006
1188,938,805
1189,938,1006
1190,939,1006
1191,940,686
1192,941,686
1193,942,1006
1194,943,1006
1195,944,1006
1196,945,1006
1197,946,686
1198,946,805
1199,947,686
1200,947,805
1201,948,686
1202,948,805
1203,949,686
1204,949,805
1205,950,686
1206,950,805
1207,951,686
1208,951,805
1209,952,686
1210,952,805
1211,953,232
1212,954,1006
1213,955,1006
1214,956,1006
1215,957,232
1216,958,232
1217,959,232
1218,960,232
1219,961,2
1220,962,2
1221,963,2
1222,964,2
1223,965,1006
1224,966,232
1225,967,2
1226,968,2
1227,969,2
1228,970,1006
1229,971,232
1230,972,686
1231,973,686
1232,973,232
1233,974,686
1234,974,232
1235,975,2
1236,976,232
1237,977,232
1238,978,686
1239,979,1006
1240,980,1006
1241,981,1006
1242,982,1006
1243,983,1006
1244,984,1006
1245,985,2
1246,986,1006
1247,987,1006
1248,988,1006
1249,989,408
1250,990,232
1251,991,1006
1252,992,1006
1253,993,805
1254,993,1006
1255,994,232
1256,995,232
1257,996,232
1258,997,686
1259,997,805
1260,998,686
1261,998,805
1262,999,2
1263,1000,408
1264,1001,1006
1265,1002,1006
1266,1003,1006
1267,1004,805
1268,1004,1006
1269,1005,805
1270,1005,1006
1271,1007,805
1272,1007,1006
1273,1008,805
1274,1008,1006
1275,1009,805
1276,1009,1006
1277,1010,805
1278,1010,1006
1279,1011,805
1280,1011,1006
1281,1012,1006
1282,1013,1006
1283,1014,686
1284,1015,686
1285,1016,408
1286,1016,805
1287,1017,805
1288,1018,686
1289,1019,1006
1290,1019,686
1291,1020,1006
1292,1021,1006
1293,1021,686
1294,1022,1006
1295,1023,1006
1296,1024,1006
1297,1025,232
1298,1026,232
1299,1027,232
1300,1028,232
1301,1029,1006
1302,1030,1006
1303,1031,1006
1304,1032,1006
1305,1033,1006
1306,1034,1006
1307,1035,1006
1308,1036,686
1309,1037,686
1310,1038,686
1311,1039,1006
1312,1040,1006
1313,1041,232
1314,1041,408
1315,1042,232
1316,1042,408
1317,1043,232
1318,1043,408
1319,1044,686
1320,1044,232
1321,1045,686
1322,1046,1006
1323,1047,2
1324,1048,2
1325,1049,2
1326,1050,686
1327,1051,686
1328,1052,2
1329,1053,2
1330,1054,2
1331,1055,2
1332,1056,686
1333,1057,1006
1334,1058,408
1335,1058,686
1336,1059,1006
1337,1060,686
1338,1061,232
1339,1062,232
1340,1063,232
1341,1064,1006
1342,1065,686
1343,1066,1006
1344,1067,686
1345,1068,2
1346,1069,2
1347,1071,1006
1348,1072,686
1349,1072,805
1350,1073,686
1351,1073,805
1352,1074,686
1353,1074,805
1354,1075,686
1355,1075,805
1356,1076,686
1357,1076,805
1358,1077,686
1359,1077,805
1360,1078,1006
1361,1079,1006
1362,1080,2
1363,1081,2
1364,1082,805
1365,1082,1006
1366,1083,1006
1367,1084,686
1368,1085,2
1369,1086,232
1370,1087,686
1371,1087,805
1372,1088,2
1373,1089,1006
1374,1090,686
1375,1091,686
1376,1091,1006
1377,1092,2
1378,1093,2
1379,1094,2
1380,1095,805
1381,1096,408
1382,1097,2
1383,1098,2
1384,1099,2
